epoch,train_loss,val_loss,iou,f1,precision,recall
1,0.707082,0.608088,0.195885,0.327598,0.248722,0.479734
2,0.572209,0.515763,0.282015,0.439956,0.374648,0.53284
3,0.517703,0.467986,0.335589,0.502533,0.420866,0.623525
4,0.487211,0.456598,0.300828,0.462518,0.345041,0.70129
5,0.466349,0.449259,0.29858,0.459856,0.336617,0.725451
6,0.451405,0.422622,0.39784,0.569221,0.567279,0.571177
7,0.438837,0.407238,0.374046,0.544445,0.479364,0.629972
8,0.427192,0.418168,0.400556,0.571995,0.638251,0.518202
9,0.414971,0.391067,0.384419,0.555351,0.475312,0.667803
10,0.407262,0.379052,0.432965,0.604292,0.582457,0.627829
11,0.397343,0.383215,0.440782,0.611865,0.599805,0.62442
12,0.391694,0.367707,0.396506,0.567855,0.472507,0.711411
13,0.390534,0.381787,0.432671,0.604006,0.66862,0.550781
14,0.383646,0.365021,0.436655,0.607877,0.567265,0.654753
15,0.376364,0.365397,0.450601,0.621261,0.627354,0.615286
16,0.373911,0.378518,0.42517,0.596659,0.620389,0.574678
17,0.37041,0.364317,0.44899,0.619728,0.632065,0.607864
18,0.367579,0.356789,0.45132,0.621944,0.591021,0.656283
19,0.362022,0.350793,0.457506,0.627793,0.591772,0.668483
20,0.357564,0.353946,0.451596,0.622206,0.604603,0.640864
21,0.354726,0.359316,0.453817,0.624311,0.652439,0.598508
22,0.353502,0.34528,0.464897,0.634717,0.593013,0.682729
23,0.346788,0.345124,0.476828,0.645746,0.645207,0.646286
24,0.345761,0.341635,0.465538,0.635313,0.574485,0.710548
25,0.341232,0.353628,0.459194,0.62938,0.622473,0.636441
26,0.340456,0.336693,0.480915,0.649483,0.610521,0.693758
27,0.336672,0.334637,0.488294,0.656179,0.622303,0.693955
28,0.337381,0.35099,0.469018,0.638546,0.674553,0.606188
29,0.32918,0.350329,0.467927,0.637534,0.696709,0.587625
30,0.332191,0.342049,0.481115,0.649666,0.65855,0.641019
31,0.327974,0.345474,0.483672,0.651993,0.690433,0.617608
32,0.327561,0.331507,0.48112,0.649671,0.63901,0.660693
33,0.321086,0.34903,0.476767,0.64569,0.668524,0.624366
34,0.31913,0.34863,0.478217,0.647019,0.701583,0.600329
35,0.316828,0.337423,0.485992,0.654097,0.654171,0.654024
36,0.313509,0.346298,0.479613,0.648296,0.724519,0.586584
37,0.312195,0.354393,0.466858,0.636541,0.712514,0.575209
38,0.310086,0.323121,0.490382,0.658062,0.639878,0.677311
39,0.308949,0.332951,0.482597,0.651016,0.679187,0.625088
40,0.309498,0.335523,0.491033,0.658648,0.673242,0.644674
41,0.303778,0.340598,0.484158,0.652434,0.712544,0.601677
42,0.301426,0.327348,0.493936,0.661255,0.660295,0.662217
43,0.303531,0.330186,0.496714,0.663739,0.661467,0.666027
44,0.30101,0.324957,0.499212,0.665966,0.663319,0.668635
45,0.299434,0.330954,0.496697,0.663724,0.667626,0.659868
46,0.298702,0.328753,0.500424,0.667043,0.680023,0.654549
47,0.298186,0.332652,0.499411,0.666143,0.683254,0.649868
48,0.295144,0.32497,0.497178,0.664153,0.676286,0.652449
